employee_id,first_name,last_name,gender,department,role,location,birth_date,hire_date
121,Michael,Beck,Female,Marketing,Marketing Executive,Bangalore,1991-10-22,2021-09-23
122,Douglas,Bennett,Non-binary,Engineering,Tech Lead,Noida,1984-10-15,2015-09-04
123,Gabriel,Boyd,Non-binary,Support,Support Lead,Hyderabad,1971-09-01,2020-08-23
124,Brittany,Wilkinson,Non-binary,Marketing,Marketing Executive,Chennai,1970-01-26,2017-09-16
125,Parker,Henry,Non-binary,Marketing,Marketing Executive,Noida,1970-06-01,2018-10-02
126,Kyle,Walsh,Female,Product,Product Manager,Noida,1995-10-17,2016-08-25
127,Karen,Peterson,Male,Finance,Accountant,Chennai,1993-08-21,2018-02-16
128,Taylor,Bradley,Male,Engineering,Tech Lead,Pune,2000-01-08,2019-11-15
129,Melinda,Fields,Male,Engineering,DevOps,Noida,1990-10-16,2017-04-21
130,Mark,Garrett,Male,HR,HR Executive,Bangalore,1977-06-21,2017-12-18
131,Daniel,Ryan,Male,Engineering,Tech Lead,Pune,1992-09-15,2017-04-24
132,Erica,Diaz,Male,Support,Support Lead,Bangalore,1987-06-27,2017-05-27
133,Michael,Li,Male,Product,Business Analyst,Chennai,1991-04-19,2022-07-26
134,Linda,Ford,Female,Product,Product Manager,Noida,2001-02-07,2016-06-23
135,Donna,Murray,Non-binary,Support,Support Engineer,Mumbai,1994-11-18,2020-02-23
136,Ryan,Craig,Non-binary,Support,Support Lead,Pune,1964-12-11,2024-05-28
137,Matthew,Pacheco,Non-binary,HR,HR Manager,Noida,1973-07-01,2024-08-25
138,Alfred,Duke,Male,HR,HR Manager,Hyderabad,1984-04-29,2021-08-31
139,Daniel,Colon,Male,Marketing,SEO Specialist,Mumbai,1977-11-08,2015-06-11
140,Tiffany,Ramirez,Non-binary,HR,HR Manager,Mumbai,1979-09-04,2018-10-03
141,Christina,Jones,Male,Support,Support Engineer,Mumbai,1978-05-02,2016-04-05
142,Gina,Campos,Male,Finance,Accountant,Bangalore,1977-04-05,2018-12-02
143,Shane,Harvey,Male,HR,HR Manager,Chennai,1973-11-29,2019-09-18
144,Albert,Olson,Female,Finance,Accountant,Hyderabad,1994-08-30,2018-05-03
145,Claire,Lyons,Non-binary,Finance,Accountant,Noida,1978-01-16,2015-03-10
146,Kathy,Watson,Non-binary,HR,HR Executive,Mumbai,1976-05-09,2015-06-09
147,Matthew,Glenn,Non-binary,Engineering,Tech Lead,Chennai,1980-05-23,2024-02-15
148,Nicholas,Smith,Female,Finance,Finance Manager,Chennai,1972-04-27,2023-08-05
149,Jeffrey,Graham,Male,Product,Product Manager,Noida,2001-11-04,2016-08-07
150,Jennifer,Hernandez,Male,HR,HR Manager,Hyderabad,1969-06-22,2016-06-10
151,Brittney,Evans,Non-binary,Sales,Account Manager,Mumbai,2001-12-02,2021-05-06
152,Robin,Martinez,Non-binary,HR,HR Executive,Noida,1995-07-05,2017-08-04
153,Brian,Powell,Female,Support,Support Lead,Noida,1970-05-16,2023-05-19
154,Michael,Pruitt,Female,HR,HR Manager,Pune,1968-03-05,2020-08-26
155,Michael,Newman,Male,Marketing,SEO Specialist,Pune,1988-01-02,2021-07-19
156,Mark,Cordova,Male,HR,HR Manager,Bangalore,2002-01-04,2019-10-03
157,Russell,Vance,Female,Support,Support Lead,Chennai,2003-06-14,2018-11-03
158,Joseph,Williams,Female,Product,Product Manager,Chennai,1966-09-25,2021-12-31
159,Michelle,Lopez,Non-binary,HR,HR Manager,Hyderabad,1990-11-07,2022-03-02
160,Jon,Rice,Male,Product,Business Analyst,Chennai,1967-11-17,2017-07-31
161,Bobby,Jacobson,Non-binary,Product,Business Analyst,Chennai,1996-12-15,2019-12-02
162,Sandra,Maxwell,Non-binary,Marketing,Marketing Executive,Noida,1981-10-18,2021-06-17
163,Philip,Ortiz,Male,Marketing,SEO Specialist,Mumbai,1976-05-07,2017-12-31
164,Carolyn,Wright,Non-binary,Finance,Finance Manager,Mumbai,1990-09-16,2024-05-12
165,Paige,Taylor,Non-binary,Finance,Finance Manager,Hyderabad,2002-01-30,2024-07-12
166,Kristina,Owens,Male,Product,Business Analyst,Hyderabad,1968-09-11,2021-03-22
167,Tammy,Martinez,Male,HR,HR Manager,Chennai,1994-10-14,2015-09-26
168,Robert,Stevens,Non-binary,HR,HR Manager,Hyderabad,1977-07-16,2020-04-29
169,Zachary,Moreno,Male,Product,Product Manager,Bangalore,1979-10-10,2020-12-15
170,Andrew,Scott,Non-binary,Sales,Sales Executive,Pune,2002-12-28,2020-11-01
171,Nicole,Gamble,Non-binary,Engineering,Software Engineer,Chennai,1967-04-15,2018-01-06
172,Andrew,Cortez,Male,Marketing,SEO Specialist,Mumbai,1978-01-05,2019-11-23
173,Matthew,Walker,Male,Product,Business Analyst,Chennai,1993-12-20,2024-12-26
174,Emily,Martin,Male,Product,Product Manager,Chennai,1998-11-28,2020-04-08
175,Tammy,Roberts,Female,Engineering,Tech Lead,Pune,1983-06-12,2022-07-26
176,Sherri,Morris,Female,Engineering,Software Engineer,Hyderabad,1966-01-18,2021-07-13
177,Todd,Noble,Non-binary,HR,HR Manager,Pune,1991-05-23,2022-11-20
178,Jessica,Greer,Male,Marketing,Marketing Executive,Mumbai,1996-05-11,2020-11-28
179,Tonya,Lopez,Non-binary,Sales,Account Manager,Pune,1996-03-14,2022-11-12
180,James,Cooper,Female,Marketing,Marketing Executive,Pune,1969-08-01,2022-04-26
181,Susan,Bell,Non-binary,Engineering,Senior Engineer,Bangalore,2002-12-03,2019-03-03
182,Justin,Myers,Male,HR,HR Manager,Pune,1982-08-25,2021-07-26
183,Bruce,Wilson,Male,Finance,Finance Manager,Mumbai,1994-07-08,2021-06-26
184,Michael,Snyder,Female,Marketing,Marketing Executive,Noida,1974-09-27,2015-10-13
185,Katie,Watson,Male,Support,Support Engineer,Mumbai,1972-08-04,2020-07-03
186,Eric,Rogers,Male,Support,Support Engineer,Mumbai,1976-01-03,2021-12-26
187,Scott,Baldwin,Non-binary,Marketing,SEO Specialist,Chennai,1977-01-22,2017-10-31
188,Joseph,Rodgers,Non-binary,Engineering,Senior Engineer,Mumbai,2003-07-12,2024-01-07
189,Kevin,Warner,Female,Finance,Accountant,Noida,2002-10-20,2020-11-28
190,Erica,King,Female,Product,Business Analyst,Chennai,2002-04-23,2024-07-25
191,Andrew,Jackson,Female,Engineering,Tech Lead,Mumbai,1997-05-11,2018-04-19
192,Daniel,Harrell,Female,Marketing,SEO Specialist,Bangalore,2000-10-08,2023-01-26
193,Lindsay,Eaton,Male,Sales,Sales Manager,Chennai,1992-08-23,2020-04-29
194,Derek,Carr,Female,Engineering,DevOps,Pune,1972-09-17,2023-05-11
195,Lydia,Gutierrez,Female,Support,Support Lead,Pune,1967-09-05,2016-03-07
196,Douglas,Meza,Non-binary,Marketing,SEO Specialist,Mumbai,1992-09-15,2023-04-09
197,Deborah,Jennings,Non-binary,Product,Product Manager,Bangalore,2001-12-13,2021-06-06
198,Paul,Hines,Male,Support,Support Engineer,Pune,1977-11-03,2018-03-10
199,Michael,Cantu,Male,Finance,Accountant,Chennai,1999-05-05,2018-07-10
200,Raymond,Rose,Non-binary,Engineering,Software Engineer,Pune,2002-12-28,2019-03-21
201,Jesus,Riley,Non-binary,Product,Product Manager,Pune,1999-02-11,2015-07-26
202,Hayden,Mckenzie,Male,Product,Business Analyst,Mumbai,1992-07-15,2016-04-21
203,Cody,Sutton,Male,Product,Product Manager,Pune,1978-09-24,2017-08-02
204,Robert,Farrell,Female,Engineering,Senior Engineer,Bangalore,1966-01-30,2017-03-10
205,David,Hernandez,Non-binary,Marketing,SEO Specialist,Chennai,1979-07-16,2024-12-26
206,Carol,Wilcox,Male,Engineering,DevOps,Bangalore,1983-05-03,2022-10-30
207,Sabrina,Valencia,Male,Finance,Finance Manager,Hyderabad,1979-10-13,2022-05-13
208,Robert,Lawson,Male,Support,Support Engineer,Hyderabad,1997-06-25,2023-09-22
209,Tanner,Clark,Female,Finance,Finance Manager,Bangalore,1969-11-24,2022-06-12
210,Kristen,Castro,Female,Product,Business Analyst,Bangalore,1971-03-06,2024-08-18
211,Michelle,Brown,Male,Support,Support Lead,Pune,1999-07-22,2024-12-01
212,Monica,Ayala,Non-binary,Support,Support Lead,Chennai,1989-01-27,2020-08-16
213,William,Hawkins,Female,Finance,Finance Manager,Mumbai,1970-10-15,2023-06-10
214,Ray,Williams,Non-binary,HR,HR Manager,Pune,1976-03-12,2017-12-24
215,Robin,Scott,Non-binary,Support,Support Engineer,Noida,2003-06-19,2022-06-30
216,Michael,Knight,Female,Sales,Account Manager,Pune,2001-12-07,2020-12-03
217,George,Wilson,Non-binary,Product,Business Analyst,Bangalore,1996-03-27,2022-11-02
218,Joshua,Gallagher,Male,Support,Support Lead,Mumbai,1980-01-27,2018-04-15
219,Christopher,Clarke,Female,Engineering,Software Engineer,Pune,1987-01-20,2016-04-26
220,Melissa,Robinson,Female,Support,Support Engineer,Bangalore,1985-02-26,2019-08-31
221,Kelli,Morrison,Non-binary,Finance,Accountant,Noida,1991-10-09,2021-03-08
222,Jenna,Sandoval,Non-binary,Support,Support Engineer,Pune,1994-07-16,2017-01-08
223,Ashley,Wilson,Female,Support,Support Lead,Bangalore,1981-07-29,2019-02-20
224,Kevin,Barnes,Non-binary,Marketing,Marketing Executive,Bangalore,1976-01-09,2016-06-22
225,Charles,Johnston,Non-binary,Support,Support Lead,Noida,1982-01-08,2021-11-25
226,Holly,Kelly,Non-binary,Product,Product Manager,Pune,1983-10-11,2020-08-17
227,Kelly,Garcia,Non-binary,Sales,Sales Manager,Chennai,1997-07-05,2024-05-02
228,Matthew,Fields,Female,Product,Product Manager,Bangalore,1996-10-18,2020-04-21
229,Billy,Pierce,Female,Marketing,SEO Specialist,Pune,1984-08-05,2016-10-11
230,Samantha,Jackson,Non-binary,Product,Business Analyst,Chennai,1989-06-18,2016-07-09
231,Austin,Gibson,Female,Finance,Accountant,Bangalore,1978-09-08,2015-01-18
232,Steven,Brady,Male,Finance,Accountant,Pune,1976-01-08,2023-04-14
233,Michael,Frey,Male,Marketing,Marketing Executive,Chennai,1975-07-24,2017-09-29
234,Jennifer,Carter,Male,Product,Product Manager,Noida,1975-09-13,2018-07-19
235,Vanessa,Huffman,Female,Marketing,SEO Specialist,Pune,1975-03-27,2017-01-02
236,Tina,Hall,Non-binary,Support,Support Lead,Hyderabad,1987-01-18,2017-04-29
237,James,Frazier,Male,Support,Support Lead,Chennai,1978-07-28,2019-06-01
238,Shawn,Sheppard,Female,Product,Business Analyst,Mumbai,1966-04-13,2020-10-02
239,Wanda,Brown,Male,Engineering,DevOps,Mumbai,1970-09-19,2018-09-19
240,Autumn,Miller,Non-binary,Engineering,DevOps,Hyderabad,1998-04-24,2015-05-22
241,Jacob,Marquez,Male,Support,Support Lead,Bangalore,1969-04-24,2021-11-09
242,Crystal,Edwards,Female,HR,HR Manager,Pune,1992-06-25,2018-09-18
243,Stephanie,Howard,Non-binary,Finance,Finance Manager,Pune,1987-03-12,2020-03-02
244,Courtney,Pollard,Female,Support,Support Lead,Noida,1982-09-01,2020-01-01
245,Taylor,Williamson,Non-binary,Support,Support Engineer,Hyderabad,1991-01-20,2016-01-21
246,Lisa,Hale,Male,Finance,Finance Manager,Pune,1999-03-03,2018-04-25
247,Brandi,Booth,Female,Marketing,SEO Specialist,Chennai,1974-01-28,2024-02-28
248,Daniel,Flores,Non-binary,Engineering,DevOps,Hyderabad,1999-03-11,2023-07-05
249,Allison,Smith,Male,Engineering,Senior Engineer,Chennai,1990-04-07,2015-10-05
250,Casey,Murray,Male,Marketing,Marketing Executive,Pune,1975-10-25,2023-07-20
251,Alicia,Brewer,Male,Support,Support Engineer,Noida,1974-04-23,2021-09-30
252,Michael,Williams,Female,Engineering,Software Engineer,Noida,1980-02-09,2020-12-12
253,Andrea,Aguilar,Female,HR,HR Executive,Bangalore,1970-10-26,2024-09-24
254,Bianca,Bolton,Male,Sales,Sales Executive,Chennai,2002-11-04,2020-03-27
255,Eugene,Walker,Male,Engineering,Tech Lead,Chennai,1991-05-13,2022-07-09
256,Deborah,Morrow,Female,HR,HR Manager,Bangalore,1990-12-15,2024-12-23
257,Emily,Bennett,Non-binary,Finance,Accountant,Chennai,1986-06-10,2015-10-30
258,Brian,Brown,Male,Engineering,Tech Lead,Mumbai,1991-04-13,2020-06-02
259,Aaron,Peterson,Male,Engineering,Software Engineer,Chennai,1970-03-05,2022-04-24
260,Edward,Gomez,Female,Engineering,Software Engineer,Mumbai,1978-03-22,2019-07-20
261,Rebekah,Reed,Male,HR,HR Executive,Pune,1976-11-04,2020-03-19
262,Tracy,Lawson,Female,Marketing,Marketing Executive,Hyderabad,1967-09-01,2018-11-18
263,Steven,Robertson,Female,Engineering,Senior Engineer,Noida,1997-06-18,2020-06-02
264,Kathryn,Figueroa,Male,Product,Product Manager,Noida,1999-01-01,2017-03-17
265,Paul,Ramos,Non-binary,HR,HR Executive,Chennai,1995-06-23,2023-06-10
266,Kim,Cannon,Male,Engineering,DevOps,Pune,1993-04-08,2017-05-07
267,Michael,Taylor,Female,HR,HR Manager,Pune,1972-05-03,2018-09-27
268,Frances,Parker,Non-binary,Finance,Accountant,Chennai,1995-06-13,2024-05-27
269,Alexander,Williams,Non-binary,Finance,Finance Manager,Chennai,1998-12-04,2016-08-11
270,Shaun,Myers,Male,HR,HR Executive,Bangalore,1991-08-19,2015-05-15
271,Justin,Lowe,Female,Marketing,SEO Specialist,Pune,1995-10-12,2019-03-21
272,Jasmine,Myers,Non-binary,Product,Product Manager,Pune,1988-05-30,2024-08-29
273,Dawn,Bryan,Non-binary,Sales,Sales Executive,Noida,1981-12-14,2017-01-16
274,Ronald,Adams,Male,Engineering,Software Engineer,Chennai,2003-05-02,2024-04-15
275,Eric,Carter,Female,Finance,Accountant,Hyderabad,1994-06-10,2023-10-17
276,Dean,Kelly,Male,Marketing,SEO Specialist,Mumbai,1983-02-02,2019-04-22
277,Suzanne,Ware,Non-binary,Product,Business Analyst,Bangalore,1966-06-04,2017-07-19
278,Tyler,Cummings,Male,HR,HR Manager,Mumbai,1965-03-11,2016-02-16
279,Mark,Lee,Male,HR,HR Manager,Mumbai,1988-12-26,2015-04-01
280,John,Barker,Female,Finance,Accountant,Chennai,1996-11-30,2018-04-14
281,Ariana,Russell,Female,Engineering,Software Engineer,Pune,1967-12-08,2024-07-05
282,Stephanie,Lam,Female,Support,Support Engineer,Mumbai,1986-12-12,2022-09-27
283,Aaron,Mitchell,Non-binary,Support,Support Lead,Hyderabad,1994-10-12,2024-10-31
284,Tanya,Gonzalez,Male,HR,HR Manager,Bangalore,1965-01-21,2019-07-20
285,David,Brown,Male,Support,Support Lead,Mumbai,1978-04-19,2018-04-01
286,Richard,Martin,Non-binary,Marketing,SEO Specialist,Bangalore,2002-09-29,2018-08-22
287,Jamie,Thompson,Female,Product,Product Manager,Chennai,1986-11-19,2022-01-22
288,Marie,Kelly,Non-binary,Marketing,Marketing Executive,Chennai,1971-03-13,2019-02-09
289,Lawrence,Diaz,Male,Sales,Sales Executive,Bangalore,1967-08-19,2020-11-22
290,Steven,Randolph,Male,Support,Support Engineer,Noida,1998-01-11,2022-03-27
291,Daniel,Levy,Male,Product,Business Analyst,Noida,2001-09-06,2021-03-21
292,Alexandra,Vazquez,Female,HR,HR Manager,Noida,1995-03-08,2024-08-14
293,Bobby,Jones,Female,Engineering,DevOps,Mumbai,1976-07-03,2019-12-01
294,Brian,Moore,Non-binary,Marketing,SEO Specialist,Mumbai,1999-07-05,2015-12-21
295,Tina,Alvarado,Male,Product,Product Manager,Noida,2002-10-19,2015-01-26
296,Leah,Richmond,Non-binary,Engineering,Tech Lead,Chennai,1965-07-24,2017-09-11
297,Hailey,Jackson,Female,Sales,Sales Executive,Bangalore,1976-09-13,2017-07-19
298,Kathy,Garrett,Male,Product,Business Analyst,Noida,1969-04-03,2020-02-20
299,Kimberly,Graham,Male,Marketing,Marketing Executive,Mumbai,1980-10-29,2018-02-12
300,Gloria,Brown,Male,Product,Product Manager,Hyderabad,1997-04-08,2020-11-03
301,Kevin,Cox,Female,HR,HR Executive,Hyderabad,1972-08-27,2020-03-20
302,Courtney,Fernandez,Female,Product,Business Analyst,Mumbai,1986-12-01,2015-07-25
303,Heather,Davis,Male,Support,Support Lead,Pune,1967-05-19,2023-12-25
304,Allison,Herrera,Non-binary,Support,Support Engineer,Noida,1979-05-21,2021-08-21
305,Joshua,Livingston,Non-binary,Support,Support Engineer,Chennai,1985-07-26,2024-05-27
306,Stephen,Lyons,Male,Sales,Sales Manager,Noida,1969-03-20,2021-08-02
307,Rebecca,Mcguire,Male,Sales,Sales Manager,Mumbai,1974-12-08,2023-10-04
308,Lisa,Hernandez,Female,Product,Product Manager,Pune,1993-10-20,2018-02-05
309,Cynthia,Maddox,Non-binary,HR,HR Manager,Noida,1999-11-26,2023-07-07
310,Mckenzie,Burns,Female,Engineering,DevOps,Pune,1979-07-28,2022-04-22
